Date,Open,High,Low,Close,Adj Close,Volume
2019-09-30,3450.0,3487.5,3450.0,3487.5,2773.5498046875,58294000
2019-10-01,3450.0,3525.0,3450.0,3450.0,2743.726806640625,31243400
2019-10-02,3437.5,3475.0,3250.0,3262.5,2594.611083984375,129586200
2019-10-03,3262.5,3262.5,3137.5,3200.0,2544.90576171875,146789000
2019-10-04,3225.0,3262.5,3162.5,3200.0,2544.90576171875,69121800
2019-10-07,3237.5,3237.5,3162.5,3175.0,2525.02392578125,36656400
2019-10-08,3175.0,3250.0,3175.0,3250.0,2584.669921875,104992000
2019-10-09,3225.0,3237.5,3200.0,3212.5,2554.846923828125,55131400
2019-10-10,3212.5,3300.0,3212.5,3262.5,2594.611083984375,120255400
2019-10-11,3250.0,3325.0,3237.5,3275.0,2604.5517578125,96816400
2019-10-14,3312.5,3337.5,3250.0,3300.0,2624.43408203125,65272800
2019-10-15,3275.0,3300.0,3250.0,3287.5,2614.493408203125,94139600
2019-10-16,3300.0,3325.0,3275.0,3312.5,2634.375244140625,118973800
2019-10-17,3312.5,3350.0,3312.5,3350.0,2664.1982421875,150037800
2019-10-18,3337.5,3437.5,3325.0,3387.5,2694.021484375,117544400
2019-10-21,3400.0,3412.5,3350.0,3400.0,2703.96240234375,83622800
2019-10-22,3425.0,3425.0,3375.0,3412.5,2713.903564453125,62050200
2019-10-23,3412.5,3550.0,3375.0,3537.5,2813.313720703125,98440400
2019-10-24,3562.5,3625.0,3537.5,3612.5,2872.960205078125,132797200
2019-10-25,3637.5,3637.5,3487.5,3500.0,2783.490478515625,105735200
2019-10-28,3500.0,3537.5,3462.5,3500.0,2783.490478515625,46389600
2019-10-29,3550.0,3575.0,3500.0,3550.0,2823.2548828125,91735400
2019-10-30,3537.5,3537.5,3487.5,3512.5,2793.431640625,47667200
2019-10-31,3525.0,3525.0,3450.0,3512.5,2793.431640625,78160000
2019-11-01,3512.5,3512.5,3462.5,3487.5,2773.5498046875,24366800
2019-11-04,3500.0,3512.5,3437.5,3437.5,2733.785400390625,56584800
2019-11-05,3475.0,3600.0,3462.5,3600.0,2863.01904296875,94253000
2019-11-06,3587.5,3600.0,3412.5,3487.5,2773.5498046875,113175200
2019-11-07,3512.5,3512.5,3387.5,3500.0,2783.490478515625,78753600
2019-11-08,3487.5,3575.0,3425.0,3550.0,2823.2548828125,76355000
2019-11-11,3537.5,3550.0,3487.5,3525.0,2803.373046875,45212000
2019-11-12,3500.0,3550.0,3462.5,3512.5,2793.431640625,52900800
2019-11-13,3500.0,3500.0,3387.5,3437.5,2733.785400390625,75148400
2019-11-14,3437.5,3450.0,3350.0,3437.5,2733.785400390625,66698600
2019-11-15,3462.5,3512.5,3462.5,3475.0,2763.60888671875,47017200
2019-11-18,3475.0,3512.5,3437.5,3487.5,2773.5498046875,61287000
2019-11-19,3512.5,3575.0,3475.0,3575.0,2843.136962890625,67006200
2019-11-20,3575.0,3600.0,3525.0,3550.0,2823.2548828125,46727600
2019-11-21,3500.0,3600.0,3475.0,3587.5,2853.078125,60944600
2019-11-22,3550.0,3587.5,3525.0,3537.5,2813.313720703125,40452800
2019-11-25,3500.0,3525.0,3462.5,3487.5,2773.5498046875,47676200
2019-11-26,3500.0,3525.0,3450.0,3462.5,2753.667236328125,173533200
2019-11-27,3412.5,3487.5,3400.0,3450.0,2743.726806640625,72928800
2019-11-28,3425.0,3450.0,3387.5,3387.5,2694.021484375,56275200
2019-11-29,3387.5,3500.0,3387.5,3487.5,2773.5498046875,53250600
2019-12-02,3487.5,3575.0,3462.5,3550.0,2823.2548828125,74561000
2019-12-03,3525.0,3587.5,3512.5,3587.5,2853.078125,79039000
2019-12-04,3537.5,3575.0,3525.0,3537.5,2813.313720703125,65802200
2019-12-05,3550.0,3600.0,3537.5,3587.5,2853.078125,74217800
2019-12-06,3600.0,3612.5,3562.5,3587.5,2853.078125,53720600
2019-12-09,3600.0,3650.0,3600.0,3625.0,2882.9013671875,72098600
2019-12-10,3600.0,3700.0,3600.0,3687.5,2932.606201171875,132230000
2019-12-11,3675.0,3700.0,3662.5,3675.0,2922.665283203125,68454200
2019-12-12,3662.5,3725.0,3637.5,3650.0,2902.783203125,79738600
2019-12-13,3700.0,3725.0,3675.0,3687.5,2932.606201171875,127472400
2019-12-16,3675.0,3712.5,3675.0,3675.0,2922.665283203125,96037400
2019-12-17,3675.0,3700.0,3662.5,3675.0,2922.665283203125,100790000
2019-12-18,3675.0,3775.0,3662.5,3762.5,2992.252685546875,123281600
2019-12-19,3762.5,3800.0,3737.5,3800.0,3022.075439453125,112903200
2019-12-20,3775.0,3850.0,3775.0,3850.0,3061.83984375,150472200
2019-12-23,3900.0,3900.0,3837.5,3862.5,3071.781005859375,131246800
2019-12-26,3887.5,3912.5,3875.0,3900.0,3101.60400390625,140936400
2019-12-27,3912.5,3912.5,3862.5,3875.0,3081.721923828125,58182800
2019-12-30,3862.5,3900.0,3825.0,3837.5,3051.89892578125,78005800
2020-01-02,3837.5,3887.5,3825.0,3875.0,3081.721923828125,37379800
2020-01-03,3875.0,3912.5,3812.5,3862.5,3071.781005859375,70294600
2020-01-06,3825.0,3837.5,3762.5,3800.0,3022.075439453125,61892000
2020-01-07,3862.5,3862.5,3787.5,3800.0,3022.075439453125,70895600
2020-01-08,3775.0,3775.0,3687.5,3750.0,2982.3115234375,105080600
2020-01-09,3775.0,3862.5,3762.5,3850.0,3061.83984375,75587000
2020-01-10,3850.0,3862.5,3825.0,3862.5,3071.781005859375,64231800
2020-01-13,3862.5,3875.0,3825.0,3862.5,3071.781005859375,75399600
2020-01-14,3900.0,3900.0,3850.0,3875.0,3081.721923828125,104134400
2020-01-15,3875.0,3900.0,3800.0,3825.0,3041.957763671875,89795200
2020-01-16,3800.0,3837.5,3762.5,3775.0,3002.193359375,145432200
2020-01-17,3787.5,3875.0,3762.5,3862.5,3071.781005859375,130500200
2020-01-20,3900.0,3900.0,3800.0,3812.5,3032.016845703125,24031800
2020-01-21,3875.0,3875.0,3812.5,3850.0,3061.83984375,39166600
2020-01-22,3875.0,3925.0,3862.5,3900.0,3101.60400390625,122175200
2020-01-23,3900.0,3912.5,3850.0,3887.5,3091.6630859375,83127800
2020-01-24,3912.5,4000.0,3862.5,3962.5,3151.308837890625,154702000
2020-01-27,3975.0,3987.5,3850.0,3862.5,3071.781005859375,98280000
2020-01-28,3825.0,3912.5,3800.0,3875.0,3081.721923828125,69349600
2020-01-29,3912.5,3962.5,3887.5,3900.0,3101.60400390625,109661000
2020-01-30,3900.0,3912.5,3800.0,3825.0,3041.957763671875,85395600
2020-01-31,3837.5,3850.0,3725.0,3775.0,3002.193359375,157661000
2020-02-03,3700.0,3787.5,3675.0,3750.0,2982.3115234375,87271800
2020-02-04,3800.0,3837.5,3750.0,3762.5,2992.252685546875,138857400
2020-02-05,3800.0,3850.0,3775.0,3850.0,3061.83984375,130211200
2020-02-06,3900.0,3925.0,3837.5,3850.0,3061.83984375,111029400
2020-02-07,3837.5,3875.0,3837.5,3862.5,3071.781005859375,86438600
2020-02-10,3850.0,3875.0,3800.0,3862.5,3071.781005859375,78553800
2020-02-11,3862.5,3912.5,3837.5,3887.5,3091.6630859375,98520200
2020-02-12,3912.5,3950.0,3887.5,3900.0,3101.60400390625,104678800
2020-02-13,3912.5,3975.0,3900.0,3925.0,3121.486083984375,87904000
2020-02-14,3875.0,3925.0,3875.0,3912.5,3111.544921875,41345200
2020-02-17,3925.0,3937.5,3900.0,3925.0,3121.486083984375,29816600
2020-02-18,3900.0,3925.0,3900.0,3912.5,3111.544921875,65442000
2020-02-19,3925.0,3975.0,3900.0,3975.0,3161.250244140625,121614200
2020-02-20,4012.5,4025.0,3962.5,4000.0,3181.13232421875,114537600
2020-02-21,3975.0,4000.0,3912.5,3950.0,3141.368408203125,91798000
2020-02-24,3900.0,3912.5,3825.0,3887.5,3091.6630859375,128768800
2020-02-25,3887.5,3950.0,3850.0,3900.0,3101.60400390625,105951800
2020-02-26,3875.0,3875.0,3825.0,3825.0,3041.957763671875,198171000
2020-02-27,3825.0,3850.0,3625.0,3675.0,2922.665283203125,223088600
2020-02-28,3375.0,3637.5,3275.0,3637.5,3038.935302734375,188868200
2020-03-02,3575.0,3625.0,3475.0,3475.0,2903.175048828125,101550200
